Description,Real GDP of England at market prices,Real GDP of England at factor cost ,"Real UK GDP at market prices, geographically-consistent estimate based on post-1922 borders","Real UK GDP at factor cost, geographically-consistent estimate based on post-1922 borders","Index of real UK GDP at factor cost - based on changing political boundaries, ",Composite estimate of English and (geographically-consistent) UK real GDP at factor cost,HP-filter of log of real composite estimate of English and UK real GDP at factor cost,Export volumes,Import volumes,Nominal GDP of England at market prices,Nominal UK GDP at market prices,Nominal UK GDP at market prices.1,Population (GB+NI),Population (England),GDP deflator at market prices,Earnings per head,Consumer price index,Consumer price inflation,Real consumption wages,Wholesale/producer price index,Bank Rate,Bank Rate.1,Share prices,Bank of England Balance sheet,Bank of England Balance sheet.1,Coin in circulation outside the Bank of England,Public Sector Net Lending(+)/Borrowing(-),Public Sector Net Lending(+)/Borrowing(-).1,UK Public sector debt,UK Public sector debt.1,UK Public sector debt.2
1701,9656,8230,11295,9848,5.6515,0.6445,5.8,206,224,71.37,84.82,82.29,6613,5211,0.75,0.22,0.67,-13.04,41.31,1.24,4.5,4.5,0.76,5.47,5.46,11.57,0.2,0.3,17.7,19,21.5
1702,9407,8016,11004,9594,5.5057,0.6279,2.52,141,158,69.39,82.48,80.03,6657,5131,0.75,0.23,0.67,-1,43.11,1.29,4.5,4.5,0.81,5.32,5.24,11.41,0,-0.1,17.7,19.5,22.1
1703,8804,7501,10298,8979,5.1529,0.5876,-4.52,182,172,64.33,76.49,74.21,6710,5259,0.74,0.23,0.63,-5.05,45.33,1.29,4.5,4.5,0.94,5.69,5.64,11.27,0.2,0.2,17.8,21.2,24
1704,10481,8928,12260,10689,6.1345,0.6996,12.77,182,206,77.96,92.71,89.95,6740,5258,0.76,0.23,0.66,4.26,42.9,1.26,4.5,4.5,0.94,5.36,5.29,11.19,-0.2,-0.3,18.8,18.5,20.9
1705,9948,8471,11637,10146,5.8224,0.664,7.74,183,180,72.59,86.34,83.77,6754,5244,0.74,0.23,0.6,-9.18,47.09,1.26,4.5,4.5,0.81,4.88,4.77,10.96,-0.8,-0.9,19.4,20.5,23.1
1706,8424,7172,9854,8592,4.9307,0.5623,-8.41,184,157,59.7,71.02,68.91,6774,5334,0.72,0.23,0.68,13.48,41.99,1.21,4.5,4.5,0.74,4.81,4.7,10.88,-1.9,-2.7,22.8,29.1,33.1
1707,9464,8056,11071,9653,5.5396,0.6317,3.85,190,165,66.07,78.62,76.29,6804,5324,0.71,0.23,0.59,-12.87,48.17,1.18,4.5,4.5,0.8,5.27,5.21,10.67,-3.1,-4.1,25.2,29,33
1708,10074,8573,11784,10275,5.8964,0.6724,10.82,194,181,72.65,86.47,83.9,6834,5315,0.73,0.23,0.62,4.55,47.08,1.2,4.5,4.5,0.89,5.19,5.04,10.53,-2.9,-3.4,28,29.3,33.3
1709,8728,7426,10209,8901,5.1083,0.5826,-2.8,195,174,68.67,81.75,79.32,6857,5310,0.8,0.21,0.72,16.3,37.09,1.24,4.5,4.5,0.88,7.1,6.77,10.57,-4.1,-5.2,30.9,34.1,38.9
1710,7935,6750,9282,8093,4.6442,0.5296,-11.78,193,155,64.37,76.65,74.37,6883,5390,0.83,0.22,0.82,14.02,32.94,1.31,4.5,4.5,0.81,7.59,7.36,10.53,-5.9,-7.9,31.7,37.2,42.7
1711,8652,7358,10120,8824,5.0637,0.5775,-2.95,197,181,65.13,77.57,75.27,6884,5382,0.77,0.22,0.91,10.66,30.87,1.35,4.5,4.5,0.73,9.14,8.92,10.65,-8,-10.6,35.4,40.9,47
1712,8644,7349,10111,8815,5.0591,0.5769,-3.26,211,201,63.52,75.66,73.41,6880,5314,0.75,0.23,0.68,-25.19,41.45,1.21,4.5,4.5,0.76,10.69,10.33,10.53,-1.7,-2.4,45.9,54.2,62.5
1713,8272,7032,9677,8437,4.8419,0.5522,-8.3,227,224,62.41,74.36,72.15,6894,5310,0.77,0.23,0.65,-3.96,43.29,1.19,4.5,4.5,0.86,9.57,9.3,10.85,-0.6,-0.9,49.3,59.2,68.4
1714,9100,7734,10645,9281,5.3261,0.6074,0.16,264,229,69.46,82.79,80.32,6921,5394,0.78,0.23,0.69,6.19,41.83,1.13,4.5,4.5,0.88,12.03,11.68,11.92,-0.8,-1,50.4,54.5,62.8
1715,8844,7515,10346,9020,5.1767,0.5904,-4.08,228,218,64.72,77.15,74.85,6931,5398,0.75,0.24,0.7,0.97,42.31,1.07,4.5,4.5,0.94,8.92,8.59,13.43,-0.9,-1.2,53.9,62.3,72.1
1716,9179,7798,10737,9362,5.3725,0.6127,-2,232,224,67.42,80.39,77.99,6974,5428,0.75,0.23,0.67,-4.81,43.87,1.1,4,4.29,1,11.81,11.3,14.07,-1,-1.2,54.9,61,70.4
1717,9697,8236,11343,9889,5.6754,0.6472,1.75,264,245,72.18,86.08,83.52,7022,5437,0.76,0.24,0.64,-4.04,46.61,1.11,4,4,1.12,11.11,10.48,13.99,0.4,0.5,56.9,59.3,68.2
1718,10244,8699,11983,10448,5.9959,0.6838,5.57,210,257,75.86,90.49,87.8,7070,5491,0.76,0.24,0.63,-2.11,47.38,1.13,4,4,1.2,9.84,9.46,14.15,-0.2,-0.3,56.8,56.3,64.7
1719,10064,8544,11772,10264,5.8903,0.6717,2.3,225,207,73.1,87.22,84.62,7118,5530,0.74,0.23,0.65,4.3,44.08,1.14,5,4.67,1.19,9.48,9.1,14.56,0,0,58.2,59.8,68.8
1720,10706,9087,12523,10918,6.266,0.7146,7.27,228,235,80.44,96,93.15,7099,5510,0.77,0.24,0.69,5.15,43.25,1.13,5,5,2.42,11.9,11.28,15.34,0.3,0.3,59.2,55.4,63.5
1721,10288,8730,12034,10493,6.0215,0.6867,2.39,237,228,74.02,88.36,85.73,7095,5503,0.73,0.23,0.67,-1.96,43.03,1.1,5,5,1.03,9.76,9.49,15.37,-0.1,-0.2,58,58.6,67.6
1722,10398,8821,12163,10604,6.0857,0.694,2.86,272,246,73.25,87.45,84.85,7105,5506,0.72,0.22,0.62,-8,44.95,1.13,5,5,0.83,12.35,12.07,15.65,-0.5,-0.6,57.7,58.9,68
1723,10148,8608,11871,10350,5.9395,0.6774,0.11,244,251,73.1,87.29,84.7,7133,5523,0.74,0.24,0.6,-3.26,50.48,1.07,5,5,0.86,15.32,15.14,15.85,0.3,0.4,58.4,59.6,68.9
1724,10047,8520,11752,10246,5.8802,0.6706,-1.01,251,285,72.34,86.41,83.84,7160,5540,0.74,0.23,0.63,5.62,45.23,1.08,5,5,0.93,18.18,18.06,15.96,0.4,0.4,58.2,59.9,69.4
1725,10309,8740,12059,10514,6.0336,0.6881,1.59,280,274,75.65,90.38,87.69,7189,5558,0.75,0.22,0.65,3.19,42.52,1.08,5,5,1.1,17.1,17,15.93,0.3,0.4,57.4,56.6,65.5
1726,9990,8468,11686,10189,5.8474,0.6668,-1.46,254,258,74.96,89.58,86.91,7246,5602,0.77,0.23,0.69,5.15,41.83,1.14,5,5,1.02,16.62,16.44,16.25,0,0,57.4,57.1,66
1727,9930,8415,11616,10127,5.8119,0.6628,-1.99,240,262,73.45,87.79,85.18,7285,5628,0.76,0.23,0.65,-5.88,44.12,1.2,5,5,1.07,19.11,18.9,16.08,0.2,0.3,57.1,58.1,67.1
1728,10233,8670,11970,10436,5.9893,0.683,1.04,287,292,80,95.64,92.8,7218,5578,0.8,0.23,0.67,3.13,42.87,1.18,5,5,1.11,19.33,19.08,16.14,0.3,0.3,56.7,53.1,61.1
1729,9664,8186,11305,9856,5.6564,0.6451,-4.77,272,291,73.92,88.39,85.76,7109,5478,0.78,0.23,0.7,5.05,41.25,1.18,5,5,1.09,17.15,17,16,0.6,0.7,56.3,56.7,65.6
1730,9885,8372,11564,10082,5.7859,0.6598,-2.75,282,300,70.75,84.62,82.1,7028,5421,0.73,0.25,0.64,-8.65,48.16,1.21,5,5,1.14,18.84,18.55,15.86,0.7,0.9,55.7,58.4,67.8
1731,9728,8237,11380,9922,5.694,0.6493,-4.75,259,270,68.96,82.49,80.04,7022,5414,0.72,0.25,0.59,-7.37,52.04,1.18,5,5,1.17,19.79,19.64,15.75,0.8,0.9,55.6,59.7,69.4
1732,10375,8782,12136,10581,6.0723,0.6925,1.15,292,274,70.98,84.94,82.41,7050,5395,0.7,0.25,0.6,1.14,51.2,1.11,5,5,1.18,20.81,20.71,15.75,0.9,1,54.4,56.9,66
1733,10605,8975,12405,10816,6.2069,0.7078,2.74,291,309,73.15,87.54,84.94,7081,5438,0.71,0.25,0.57,-4.49,54.95,1.07,5,5,1.15,19.92,19.57,15.93,0.5,0.6,54,54.9,63.5
1734,10566,8941,12360,10777,6.1845,0.7053,1.77,274,274,73.11,87.53,84.92,7145,5515,0.71,0.24,0.59,3.53,51.37,1.07,5,5,1.05,20.23,20.1,15.76,-0.7,-0.9,53.3,54.4,62.7
1735,10316,8727,12067,10521,6.0378,0.6886,-1.2,308,315,72.74,87.1,84.51,7201,5561,0.72,0.25,0.6,1.14,51.46,1.03,5,5,1.09,20.3,20.21,15.68,-0.2,-0.2,53.5,54.9,63.3
1736,11082,9373,12964,11303,6.4865,0.7397,5.43,320,282,77.6,92.93,90.17,7250,5599,0.72,0.25,0.59,-2.25,53.46,1.02,5,5,1.22,20.53,20.43,15.84,0.2,0.2,53.8,52,59.6
1737,10489,8869,12270,10698,6.1391,0.7001,-0.54,332,273,72.37,86.69,84.11,7287,5629,0.71,0.25,0.63,6.9,49.6,1,5,5,1.24,18.55,18.44,15.89,1,1.1,52.6,54.5,62.6
1738,10685,9033,12499,10897,6.2538,0.7132,0.89,336,287,72.63,87.02,84.43,7314,5652,0.7,0.25,0.61,-2.15,50.47,1,5,5,1.23,20.11,20.02,15.85,0.9,1.1,51.5,53.3,61
1739,10613,8971,12415,10825,6.212,0.7084,-0.18,292,302,72.59,86.99,84.41,7354,5684,0.7,0.25,0.6,-2.2,51.32,1.08,5,5,1.13,19.69,19.59,15.64,0.4,0.4,51.2,53,60.6
1740,10435,8818,12207,10643,6.1077,0.6965,-2.29,270,259,77.08,92.39,89.65,7387,5712,0.76,0.24,0.67,12.36,43.65,1.1,5,5,1.09,20.43,20.25,15.54,-0.6,-0.7,51.8,50.7,57.7
1741,10740,9073,12563,10953,6.286,0.7169,0.14,315,306,80.31,96.29,93.42,7400,5723,0.77,0.24,0.73,8,41.68,1.2,5,5,1.1,19.16,19.07,15.68,-1.4,-1.5,53.3,50.3,57.1
1742,10987,9280,12852,11206,6.4307,0.7334,1.92,316,265,80.22,96.21,93.34,7323,5664,0.75,0.24,0.67,-8.33,45.8,1.2,5,5,1.11,19.12,18.96,15.75,-2.2,-2.3,55.7,52.7,59.7
1743,10729,9060,12550,10942,6.2795,0.7161,-1.02,373,301,77.39,92.82,90.06,7317,5660,0.74,0.25,0.63,-5.05,48.94,1.13,5,5,1.15,19.13,19.03,15.89,-2.5,-2.8,58.2,57,64.6
1744,10579,8931,12375,10789,6.1917,0.7061,-3.06,303,246,75.73,90.85,88.15,7360,5695,0.73,0.25,0.57,-10.64,55.54,1.21,5,5,1.12,19.76,19.63,16.07,-2.7,-3.1,61.5,61.6,69.8
1745,10735,9061,12557,10948,6.2829,0.7165,-2.33,299,303,74.87,89.85,87.17,7434,5750,0.72,0.25,0.57,1.19,54.35,1,5,5,1.11,18.48,18.39,16.2,-2.7,-3.1,65.2,66,74.8
1746,11072,9343,12951,11292,6.4803,0.739,-0.05,355,240,79.33,95.21,92.38,7479,5782,0.74,0.25,0.63,9.41,50.14,1.13,5,5,1.03,20.46,20.38,16.21,-3.8,-4.1,70.5,67.5,76.3
1747,11576,9767,13542,11807,6.7756,0.7727,3.54,322,275,81.69,98.07,95.15,7512,5805,0.72,0.25,0.61,-3.23,50.77,1.07,5,5,1.01,19.07,19.02,16.07,-4.6,-4.8,75.5,70.3,79.4
1748,11452,9660,13397,11680,6.7031,0.7644,1.59,367,314,82.36,98.9,95.95,7531,5817,0.74,0.25,0.63,4.44,49.28,1.1,5,5,1.01,17.93,17.84,16.27,-4.8,-5,81.1,74.9,84.6
1749,11384,9601,13317,11611,6.6634,0.7599,0.12,418,306,82.71,99.34,96.39,7578,5851,0.75,0.25,0.65,2.13,47.73,1.13,5,5,1.08,18.42,18.33,16.83,-3.7,-3.9,82.6,75.9,85.7
1750,11550,9738,13510,11779,6.7599,0.7709,0.65,419,300,83.58,100.41,97.42,7639,5888,0.74,0.25,0.64,-1.04,48.62,1.09,5,5,1.13,18.52,18.44,17.08,0.4,0.4,82.6,75,84.8
1751,11300,9525,13218,11524,6.6137,0.7542,-2.47,409,307,82.16,98.73,95.79,7696,5922,0.75,0.25,0.66,2.63,47.37,1.05,5,5,1.15,19.32,19.2,17.04,0.5,0.5,82.5,75.8,86.1
1752,11856,9992,13869,12092,6.9394,0.7914,1.34,386,305,88.47,106.34,103.17,7754,5961,0.77,0.25,0.7,6.41,44.52,1,5,5,1.2,19.41,19.22,17.47,0.3,0.3,81.1,69.2,78.6
1753,11961,10078,13992,12199,7.001,0.7984,1.18,404,333,87.7,105.42,102.29,7821,6008,0.75,0.25,0.69,-1.2,45.06,1,5,5,1.22,17.2,17.12,17.57,1.2,1.2,79,67.7,77.2
1754,11626,9794,13600,11858,6.8049,0.776,-2.78,389,312,84.53,101.64,98.62,7880,6052,0.75,0.25,0.68,-1.22,45.62,1.1,5,5,1.18,17,16.92,17,0.6,0.6,76.8,68,77.8
1755,11979,10089,14012,12217,7.0111,0.7996,-0.99,365,339,85.52,102.85,99.79,7937,6097,0.73,0.25,0.65,-4.94,47.99,1.13,5,5,1.1,18.25,18.15,16.75,-0.8,-0.8,77.2,67.6,77.4
1756,11776,9915,13775,12010,6.8923,0.786,-3.98,386,346,88.08,105.96,102.8,8004,6149,0.77,0.25,0.7,7.79,44.52,1.15,5,5,1.01,18.95,18.84,16.88,-2.7,-2.7,79.6,67.6,77.5
1757,12454,10484,14568,12702,7.2893,0.8313,0.28,407,357,99.45,119.66,116.1,8043,6178,0.82,0.23,0.89,27.71,32.68,1.16,5,5,1.03,19.27,19.18,16.83,-3.7,-3.2,84,63.4,72.3
1758,12627,10628,14771,12878,7.3907,0.8428,0.31,416,325,100,120.35,116.77,8070,6196,0.81,0.23,0.84,-5.66,34.64,1.25,5,5,1.04,16.27,16.18,17.82,-5.7,-4.9,89.8,67.3,76.9
1759,12827,10793,15005,13082,7.5076,0.8562,0.57,460,344,94.81,114.12,110.73,8104,6222,0.76,0.25,0.73,-13,42.47,1.25,5,5,0.95,15.68,15.58,19.83,-7.6,-6.9,98.7,77.7,89.1
1760,13200,11105,15441,13462,7.7258,0.8811,2.22,484,380,98.08,118.09,114.57,8157,6263,0.76,0.24,0.67,-8.05,44.75,1.26,5,5,0.94,16.86,16.75,20.29,-9.5,-8.3,112,85,97.4
1761,13725,11544,16055,13998,8.0333,0.9161,5.05,490,330,99.82,120.2,116.63,8218,6310,0.75,0.24,0.67,-1.25,45.31,1.25,5,5,0.9,16.88,16.57,20.54,-11.3,-9.7,126,94.5,108.4
1762,13343,11220,15609,13609,7.8099,0.8907,1.32,453,342,98.95,119.19,115.64,8255,6339,0.76,0.24,0.69,3.8,43.65,1.26,5,5,0.86,17.48,17.05,20.89,-9.9,-8.6,138,104.2,119.8
1763,13300,11181,15557,13564,7.7842,0.8877,0.21,484,432,103.94,125.23,121.5,8246,6327,0.8,0.27,0.71,2.44,48.11,1.26,5,5,1.06,16.51,16.39,21.7,-6.1,-5,144,103.3,118.7
1764,13294,11174,15551,13558,7.7809,0.8873,-0.53,536,401,104.9,126.42,122.66,8292,6361,0.81,0.26,0.77,9.52,42.67,1.25,5,5,0.98,16.26,16.09,21.89,-0.6,-0.5,145,102.7,118.1
1765,13186,11081,15425,13448,7.7178,0.8802,-1.99,480,424,105.14,126.72,122.95,8361,6415,0.82,0.26,0.82,5.43,40.47,1.23,5,5,1.09,15.68,15.51,22.21,-0.8,-0.7,145,102.1,117.6
1766,13362,11226,15631,13628,7.8209,0.8919,-1.3,464,444,107.62,129.75,125.89,8404,6449,0.83,0.26,0.82,0,40.47,1.23,5,5,1.15,15.22,15.04,23.04,0,0,144,99.5,114.7
1767,13454,11301,15738,13722,7.8748,0.8981,-1.27,457,466,111.72,134.72,130.71,8432,6467,0.86,0.26,0.94,15.46,35.05,1.23,5,5,1.24,14.81,14.65,23.87,0.4,0.3,144,95.7,110.4
1768,13578,11403,15883,13848,7.9473,0.9063,-1.02,498,459,108.99,131.46,127.54,8461,6487,0.83,0.29,0.92,-2.68,39.2,1.21,5,5,1.3,14.84,14.7,24.44,1.1,0.9,143,96.9,112.1
1769,14345,12044,16781,14631,8.3964,0.9575,3.79,443,460,110.76,133.62,129.65,8522,6531,0.8,0.29,0.79,-13.76,45.45,1.14,5,5,1.26,15.03,14.87,24.85,1.4,1.1,141,93.9,108.7
1770,13954,11713,16322,14231,8.167,0.9314,0.35,470,472,108.49,130.91,127.02,8586,6580,0.8,0.29,0.83,4.26,43.6,1.16,5,5,1.17,14.86,14.67,24.92,0.9,0.7,140,95.3,110.5
1771,14214,11929,16627,14497,8.3196,0.9488,1.51,564,495,115.48,139.38,135.24,8645,6623,0.84,0.29,0.87,5.97,41.59,1.16,5,5,1.19,16.45,15.89,25.47,0.7,0.5,139,88.8,102.9
1772,13851,11621,16203,14127,8.1071,0.9245,-1.8,533,514,116.11,140.18,136.01,8715,6674,0.87,0.29,0.92,4.81,40.02,1.21,5,5,1.21,14.37,14.02,26.24,0.4,0.3,139,88,102.1
1773,14098,11826,16491,14379,8.2516,0.941,-0.84,503,453,118.22,142.76,138.51,8787,6727,0.87,0.29,0.92,0.39,39.87,1.23,5,5,1.12,14.43,14.18,26.37,0.6,0.5,139,86.2,100.1
1774,13784,11560,16125,14059,8.0681,0.9201,-3.99,531,512,117.64,142.08,137.85,8855,6776,0.88,0.29,0.91,-1.46,40.63,1.21,5,5,1.15,15.36,15.16,25.51,1,0.7,138,86,100.1
1775,14225,11927,16640,14508,8.3258,0.9495,-1.86,511,524,122.16,147.57,143.18,8951,6848,0.89,0.29,0.9,-0.89,40.95,1.21,5,5,1.18,16.64,16.48,26.35,-0.3,-0.2,139,83.2,96.8
1776,14686,12310,17179,14978,8.5955,0.9802,0.23,463,424,123.69,149.46,145.01,9040,6913,0.87,0.29,0.84,-6.37,43.74,1.25,5,5,1.18,15.58,15.39,27.56,-3.6,-2.5,143,84.6,98.5
1777,15110,12664,17676,15411,8.8442,1.0086,1.95,418,398,130.67,157.92,153.23,9131,6979,0.89,0.3,0.88,4.36,42.99,1.26,5,5,1.14,15.53,15.37,27.57,-4.7,-3.1,149,83.9,97.5
1778,15005,12573,17552,15304,8.7825,1.0016,0.12,385,374,129.94,157.08,152.41,9230,7050,0.89,0.31,0.89,1.53,42.95,1.29,5,5,0.99,14.24,14.06,27.21,-6.8,-4.5,160,90,104.8
1779,14964,12535,17504,15262,8.7584,0.9988,-1.26,356,331,125.66,151.94,147.42,9320,7116,0.87,0.31,0.85,-5.12,45.46,1.36,5,5,0.95,15.47,15.25,28.56,-8.4,-5.7,174,101.2,118.2
1780,15648,13105,18304,15959,9.1586,1.0445,2.15,407,361,130.83,158.22,153.52,9376,7155,0.86,0.31,0.85,1.06,45.49,1.4,5,5,0.88,15.83,15.59,28.4,-10.7,-7,193,107.5,125.5
1781,16093,13475,18826,16414,9.4195,1.0742,4,325,395,150.95,182.6,177.17,9483,7206,0.97,0.32,0.94,9.84,42.96,1.36,5,5,0.85,14.97,14.57,29.4,-13.3,-7.5,215,104.3,121.1
1782,15933,13338,18638,16250,9.3256,1.0635,2.13,388,301,150.07,181.58,176.17,9561,7231,0.97,0.32,0.95,0.67,42.55,1.49,5,5,0.83,13.92,13.62,30.18,-14.3,-8.1,240,117.3,136.4
1783,15851,13267,18542,16166,9.2776,1.058,0.82,436,402,146.34,177.1,171.83,9590,7284,0.96,0.32,0.95,0.28,41.68,1.45,5,5,0.9,13.31,13.18,30.41,-10.9,-6.3,258,128.5,150
1784,15914,13316,18615,16230,9.3142,1.0622,0.45,458,531,141.22,170.94,165.86,9685,7301,0.92,0.31,0.9,-5,43.22,1.34,5,5,0.79,12.93,12.81,30.3,-10.8,-6.5,265,136.6,159.9
1785,15803,13220,18485,16117,9.2493,1.0548,-1.04,488,560,140.66,170.3,165.24,9781,7368,0.92,0.31,0.86,-4.37,45.25,1.33,5,5,0.88,14.12,13.52,31.29,-8.2,-4.9,267,137.9,161.5
1786,16079,13448,18809,16399,9.4111,1.0733,-0.19,506,535,151.25,183.17,177.72,9889,7434,0.97,0.32,0.86,-0.62,46.13,1.4,5,5,1.02,15.36,14.78,32.01,-1.1,-0.6,267,128.5,150.1
1787,15811,13222,18496,16126,9.2544,1.0554,-2.89,524,619,147.86,179.1,173.77,10009,7508,0.97,0.32,0.87,1.78,45.59,1.37,5,5,1.06,14.48,14.13,34.63,0.8,0.5,269,132.3,155
1788,15775,13188,18453,16089,9.2332,1.053,-4.33,532,638,142.68,172.86,167.71,10116,7592,0.94,0.32,0.88,1.54,45.74,1.4,5,5,1.11,15.7,15.22,37.52,0.5,0.3,268,136.2,160
1789,16128,13480,18866,16449,9.4399,1.0765,-3.53,590,641,143.66,174.08,168.9,10253,7666,0.92,0.33,0.88,-0.3,46.5,1.33,5,5,1.14,16.61,16.08,38.22,0.5,0.3,268,135,158.7
1790,17352,14500,20298,17697,10.1563,1.1582,2.19,609,684,158.42,192.02,186.31,10374,7762,0.95,0.34,0.94,6.5,45.05,1.33,5,5,1.14,16.59,16.15,40.76,0.3,0.2,268,122.8,143.9
1791,17427,14559,20385,17773,10.1998,1.1632,0.9,689,706,159.83,193.77,188.01,10507,7846,0.95,0.34,0.93,-1.14,46.37,1.33,5,5,1.22,16.12,15.69,42.13,0.8,0.4,268,121.7,142.6
1792,18127,15141,21204,18488,10.6097,1.2099,3.05,746,729,175.94,213.35,207,10632,7937,1.01,0.35,0.91,-2.31,48.46,1.3,5,5,1.35,15.29,14.96,42.6,0.9,0.4,267,110.5,129.1
1793,17833,14892,20860,18188,10.4377,1.1903,-0.44,573,660,171.26,207.73,201.55,10749,8022,1,0.37,0.96,6.12,47.83,1.43,5,5,1.17,14.35,13.89,42.9,-3.6,-1.8,272,115.1,134.8
1794,17256,14407,20185,17599,10.0999,1.1518,-5.64,734,766,167.33,203,196.96,10850,8101,1.01,0.38,0.99,3.07,48.46,1.46,5,5,1.08,14.22,13.78,43.92,-12.5,-6.3,288,124.3,146
1795,19130,15968,22378,19511,11.1969,1.2769,2.7,717,775,203.94,247.47,240.11,10978,8169,1.11,0.41,1.15,15.7,44.89,1.7,5,5,1.06,16.66,16.14,44.02,-20.7,-8.6,340,121.4,141.4
1796,19473,16251,22779,19861,11.3978,1.2998,2.52,874,797,213.55,259.2,251.49,11094,8256,1.14,0.43,1.18,2.42,45.84,1.72,5,5,1.07,12.21,11.71,43.35,-26.3,-10.5,381,130.1,151.4
1797,19332,16129,22614,19717,11.3151,1.2904,-0.13,872,703,214.03,259.84,252.11,11243,8334,1.15,0.44,1.06,-9.98,51.77,1.57,5,5,0.86,11.14,10.77,42.43,-32.3,-12.8,410,139.8,162.8
1798,19518,16281,22831,19906,11.4239,1.3028,-1.05,940,934,225.61,273.94,265.79,11377,8435,1.2,0.45,1.07,1.35,52.8,1.59,5,5,0.84,12.79,12.16,43.03,-19.3,-7.2,451,146.1,169.5
1799,20031,16705,23431,20429,11.7241,1.337,-0.29,930,940,249.66,303.2,294.18,11515,8526,1.29,0.48,1.3,20.95,45.77,1.84,5,5,0.98,12.69,12.05,42.34,-14.4,-4.9,469,138,159.3
1800,21007,17515,24574,21425,12.2955,1.4022,2.72,1028,1037,284.91,346.11,335.82,11596,8620,1.41,0.5,1.69,30.02,37.23,2.23,5,5,1.1,12.8,12.01,41.41,-19.4,-5.8,497,128.5,147.9
1801,21196,17668,24794,21618,12.4061,1.4148,1.95,1014,1079,303.98,369.36,411.9,11684,8671,1.49,0.5,1.59,-5.41,39.43,2.3,5,5,1.11,12.26,11.47,40.53,-26.4,-6.4,544,132,151.7
1802,21442,17865,25082,21868,12.56,1.4312,1.53,1166,1078,262.45,319.81,359.86,11788,8731,1.28,0.49,1.23,-22.84,50.08,1.81,5,5,1.21,10.21,9.53,39.52,-13.6,-3.8,562,156.1,181.5
1803,20993,17483,24557,21411,12.3069,1.4013,-2.1,922,999,258.63,315.44,355.8,11929,8832,1.28,0.5,1.21,-1.38,51.72,1.83,5,5,1.03,11.9,11.27,38.67,-10.6,-3,573,161,187.8
1804,20974,17461,24535,21391,12.3007,1.4,-3.68,956,1006,275.22,335.59,377.95,12097,8945,1.37,0.53,1.3,6.93,50.61,1.84,5,5,1.01,12.86,12.05,36.67,-12.6,-3.3,596,157.7,183.6
1805,22246,18517,26023,22689,13.0444,1.4849,0.72,924,1036,300.88,366.62,411.66,12280,9092,1.41,0.56,1.46,12.28,48.09,2.01,5,5,1.1,13.41,12.84,35.14,-16.4,-4,625,151.8,176
1806,22160,18439,25922,22601,12.9984,1.4792,-1.14,1001,1029,304.8,371.54,417.45,12461,9232,1.43,0.57,1.4,-3.81,50.47,1.99,5,5,1.18,11.48,10.95,33.7,-12.8,-3.1,646,154.8,179.7
